"machine","capacity","bgmea_num","fac_type","upazila","date_est","exist91","exist00","upaz2011","parent","ipum2011"
60,"30000",1254,1,"pallabi",1991,1,1,"302664","030026","030026064"
150,"50000",479,0,"narayanganj sadar",1987,1,1,"306758","030067","030067058"
126,NA,2821,1,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
50,"75000",135,0.5,"tejgaon",1986,1,1,"302690","030026","030026090"
100,"8000",14,0.5,"chak bazar",1985,1,1,"302609","030026","030026009"
190,"50000",2391,0.5,"pallabi",1996,0,1,"302664","030026","030026064"
30,"45000",1873,1,"mirpur",1994,0,1,"302648","030026","030026048"
56,NA,2532,0.5,"narayanganj sadar",1997,0,1,"306758","030067","030067058"
205,"30000",826,0.5,"gulshan",1989,1,1,"302626","030026","030026026"
126,"28000",542,0,"mirpur",1988,1,1,"302648","030026","030026048"
110,NA,2626,1,"mirpur",1998,0,1,"302648","030026","030026048"
303,"60000",1572,1,"mirpur",1993,0,1,"302648","030026","030026048"
285,"60000",673,0.5,"pallabi",1988,1,1,"302664","030026","030026064"
120,"60000",570,0.5,"tejgaon industrial area",1988,1,1,"302692","030026","030026092"
70,"3921000",2087,0.5,"sreepur",1995,0,1,"303386","030033","030033086"
122,"195000",165,0,"demra",1986,1,1,"302612","030026","030026012"
315,"75000",680,1,"double mooring",1988,1,1,"201528","020015","020015028"
50,"150000",2101,1,"narayanganj sadar",1995,0,1,"306758","030067","030067058"
185,"75000",1109,1,"gulshan",1990,1,1,"302626","030026","030026026"
330,"100000",871,0.5,"gulshan",1989,1,1,"302626","030026","030026026"
231,"40000",2186,1,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
75,"36000",2365,0.5,"tejgaon industrial area",1996,0,1,"302692","030026","030026092"
97,"426000",1620,1,"paltan",1993,0,1,"302665","030026","030026065"
220,"200000",1751,1,"adabor",1993,0,1,"302602","030026","030026002"
140,"48000",945,0,"mirpur",1989,1,1,"302648","030026","030026048"
110,"54000",1457,0.5,"kotwali-dhk",1992,0,1,"302640","030026","030026040"
